Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,2f0a32a0-f5c6-45d7-858c-b8a5d922633d,127914e6-d83a-48ca-8c20-b3d63034de3d,Guava: Google Core Libraries for Java,28.2-jre,28.2-jre,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,com.google.guava:guava:28.2-jre,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/26/19,4,STABLE,319,97,,,
,7bd332eb-972e-491b-ab9e-02837a4e23e1,3e9e3b09-e920-4a4c-acdd-74418d85b0ab,asm-analysis,7.1,7.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.ow2.asm:asm-analysis:7.1,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/3/19,8,,,,,,
,8a5366e4-bf7d-4158-a1e9-5b3375bd9c69,880f9c56-3b35-44ac-94d5-7ca931b6d850,JUnit,4.12,4.12,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/19/20,maven,junit:junit:4.12,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/4/14,88,DECREASING,38,6,,,
,a5ce5718-168c-4a89-976c-245a004c4397,63fb0cdf-3895-46de-9018-f3d1cf9b92ca,ASM,7.1,7.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.ow2.asm:asm:7.1,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/3/19,8,DECREASING,67,5,,,
,96dc9f7b-73e3-4dc2-b0bb-b6bba56b535d,74dadf96-5c26-4c92-bfe2-b84ac810b505,Commons IO,2.6,2.6,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,5/19/20,maven,commons-io:commons-io:2.6,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/15/17,5,DECREASING,260,14,,,
,3b91cb68-9f17-45c4-89dd-76b760c42ddb,e87e5930-f6e3-4fb5-9f39-df51c5e3fc9a,SpotBugs,3.1.12,3.1.12,fecf595c-3184-47f4-92f9-1a32ab46a8f1,GNU Lesser General Public License v2.1 only,WEAK_RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,com.github.spotbugs:spotbugs:3.1.12,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/1/19,12,DECREASING,116,19,,,
,a73a0472-e497-4877-b847-ad42d42d5ba3,a41f1d97-c121-46a5-85d8-b9424d220e62,kotlinx-coroutines-core,1.2.1,1.2.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.jetbrains.kotlinx:kotlinx-coroutines-core:1.2.1,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/26/19,21,,,,,,
,9c0920e4-104a-448e-8192-866544b75890,b164da8b-f95d-4a31-8b03-3a6261bf3c90,Apache Commons Lang,3.8.1,3.8.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.apache.commons:commons-lang3:3.8.1,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/19/18,9,INCREASING,296,31,,,
,f28f16d6-50d8-48ef-addf-eb6231576055,6f35c7fc-9ec8-41e8-8ae4-3ac7dd1d8c5a,SpotBugs Annotations,3.1.12,3.1.12,cff110eb-f85c-445c-9d3b-00a04b7f4cf0,GNU Lesser General Public License v2.1 or later,WEAK_RECIPROCAL,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,com.github.spotbugs:spotbugs-annotations:3.1.12,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/1/19,11,,,,,,
,082cd01c-6c8a-420f-ae53-e6ce0be819a9,9fb2afdc-b188-41f7-94b7-16d8e5b6bfae,Kotlin Stdlib,1.3.71,1.3.71,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/19/20,maven,org.jetbrains.kotlin:kotlin-stdlib:1.3.71,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/23/20,1,,,,,,
