,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,d00d3c3d-b00d-475b-bbca-9fc5014575cb,6690a3a9-8d50-40ed-89b1-eb7c83bcff84,libcouchbase,3.3.2,3.3.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,8/4/22,github,couchbase/libcouchbase:3.3.2,NOT_REVIEWED,couchbase-sdk-c 3.3.2,KB_COMPONENT,3,UNREVIEWED,,,8/29/22,6,DECREASING,42.0,3.0,,,,632c9d55-c93f-4e40-8f1f-a171622ebbe2,False
1,,58e2e758-dfa0-4c9a-bcc4-fc24b0951c4d,22db0816-f382-493f-a6e3-49d9f655f11e,libcouchbase,3.3.4,3.3.4-2.fc39/i686,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,8/4/22,fedora,libcouchbase/3.3.4-2.fc39/i686,NOT_REVIEWED,couchbase-sdk-c 3.3.2,KB_COMPONENT,11,UNREVIEWED,,,3/7/23,3,,,,,,,3dd93cf7-35ea-4fc1-af8e-4a3be4f72f70,False
