Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,b17e8536-f6a6-455f-a660-0f40479eaf40,d1de4ee2-14d9-46be-9755-0dc7cd89c0d4,pmezard-go-difflib,1.0.0,v1.0.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/7/20,github,pmezard/go-difflib:v1.0.0,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/2/17,1,,,,,,
,d0abba68-a7fa-414d-8a07-a6d4195e2c5c,4efbe9c0-3175-40e0-a1f8-75fa47f0f21a,stretchr/objx,v0.1.1,v0.1.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,6/10/20,github,stretchr/objx:v0.1.1,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/25/18,4,DECREASING,7,2,,,
,388c0d45-4bce-4849-af71-7c01455d0e5b,53f04c37-067e-4597-a695-0b68ded07687,pkg/errors,v0.9.1,v0.9.1,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/7/20,github,pkg/errors:v0.9.1,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/14/20,0,DECREASING,5,4,,,
,5271cd46-d193-4af5-b2c2-50a07751f580,7df9320c-eef3-478a-b9b3-44a0553d9f4d,Go Testify,v1.5.1,v1.5.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/15/20,github,stretchr/testify:v1.5.1,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/19/20,2,INCREASING,123,36,,,
,1b05a3c0-7d30-450a-a2ce-8795376706be,cdc35ac2-6be0-41e4-8268-f8b5ae64fea4,google/uuid,v1.1.1,v1.1.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/7/20,github,google/uuid:v1.1.1,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/27/19,1,,,,,,
,d0abba68-a7fa-414d-8a07-a6d4195e2c5c,e0fd5c5d-8113-4a91-8c51-a7ac568d840a,stretchr/objx,v0.1.0,v0.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/7/20,github,stretchr/objx:v0.1.0,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/5/18,5,DECREASING,7,2,,,
,45badf4c-c022-42ba-b294-b7193a79b6b8,19130ec3-42ec-4b19-bf8c-70133cd435f5,yaml for Go,v2.2.2,v2.2.2,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93",(MIT License AND Apache License 2.0),PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,5/7/20,github,go-yaml/yaml:v2.2.2,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/1/18,11,,,,,,
,9ebf2d1d-62b0-471e-a13b-c43746ccf4d0,026fb4af-b29e-4f73-8805-efa0d985bd66,go-spew,v1.1.1,v1.1.1,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,6/10/20,github,davecgh/go-spew:v1.1.1,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/22/18,4,STABLE,0,0,,,
,9ebf2d1d-62b0-471e-a13b-c43746ccf4d0,c9e92b74-7f9b-4ef0-8b86-02a70d85d679,go-spew,1.1.0,v1.1.0,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/7/20,github,davecgh/go-spew:v1.1.0,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/29/16,5,STABLE,0,0,,,
,b4466511-21ef-4990-bddb-70fdbe9cddc1,db2c7921-2175-40d3-ae15-720fa934fa8a,golang-snappy-go-dev,v0.0.1,v0.0.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/7/20,github,golang/snappy:v0.0.1,NOT_REVIEWED,,,couchbase-sdk-go v2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/18/19,1,,,,,,
